epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.0391,1.45658,2.51757,1.46344,0.51579,0.23214,0.32961,0.17785,1.42392,2.89795,1.52709,0.000657895,0.000657895,0.000657895
2,165.799,1.36656,1.93234,1.36445,0.52607,0.42857,0.47114,0.31576,1.50141,2.48082,1.69692,0.00129834,0.00129834,0.00129834
3,247.344,1.36446,1.75787,1.37688,0.4708,0.53571,0.46075,0.28045,1.35023,2.5562,1.5083,0.00191238,0.00191238,0.00191238
4,329.759,1.28984,1.55192,1.34202,0.67395,0.55366,0.61737,0.41175,1.26914,1.95597,1.42532,0.0018812,0.0018812,0.0018812
5,411.422,1.29165,1.46344,1.33481,0.74062,0.75,0.75131,0.51766,1.13865,1.51808,1.35915,0.0018416,0.0018416,0.0018416
6,493.155,1.23539,1.27681,1.28411,0.83437,0.69643,0.78727,0.54864,1.1736,1.21763,1.30533,0.001802,0.001802,0.001802
7,574.565,1.1868,1.18331,1.25879,0.75908,0.76786,0.77153,0.54755,1.11037,1.31466,1.29134,0.0017624,0.0017624,0.0017624
8,656.457,1.10352,1.07098,1.19974,0.92565,0.6671,0.76323,0.54224,1.15499,1.36647,1.32086,0.0017228,0.0017228,0.0017228
9,736.783,1.14586,1.11661,1.25232,0.95648,0.78497,0.87825,0.63464,1.07186,1.03708,1.23612,0.0016832,0.0016832,0.0016832
10,817.206,1.12962,1.06415,1.22924,0.93744,0.80357,0.85957,0.69524,0.92287,0.85562,1.13244,0.0016436,0.0016436,0.0016436
11,897.583,1.0298,1.02207,1.16991,0.93705,0.79756,0.87462,0.70211,0.88077,0.88019,1.1628,0.001604,0.001604,0.001604
12,978.126,1.02767,0.93858,1.16481,0.95894,0.83929,0.86633,0.68463,0.9079,0.88122,1.16572,0.0015644,0.0015644,0.0015644
13,1058.86,0.98903,0.89479,1.13689,0.97047,0.82143,0.87214,0.70647,0.87731,0.8251,1.12284,0.0015248,0.0015248,0.0015248
14,1139.35,0.97388,0.86753,1.12389,0.941,0.85451,0.86637,0.70614,0.79827,0.81879,1.11069,0.0014852,0.0014852,0.0014852
15,1219.74,0.93005,0.79339,1.10639,0.94694,0.80357,0.87739,0.71061,0.76152,0.75792,1.06083,0.0014456,0.0014456,0.0014456
16,1300.12,0.92711,0.77412,1.08706,0.92307,0.85714,0.89781,0.7226,0.79068,0.70694,1.06379,0.001406,0.001406,0.001406
17,1380.6,0.89469,0.74834,1.07095,0.93993,0.83822,0.86347,0.71953,0.80779,0.71561,1.02275,0.0013664,0.0013664,0.0013664
18,1461.09,0.88227,0.73953,1.07469,1,0.80254,0.89377,0.74214,0.82969,0.7127,1.10039,0.0013268,0.0013268,0.0013268
19,1541.53,0.85965,0.69148,1.05674,0.96963,0.85714,0.89135,0.74436,0.74431,0.66869,1.0541,0.0012872,0.0012872,0.0012872
20,1621.77,0.86215,0.71322,1.0663,0.97621,0.82143,0.89106,0.75739,0.6937,0.65415,0.98578,0.0012476,0.0012476,0.0012476
21,1702.57,0.85583,0.69786,1.06746,0.97269,0.83929,0.89955,0.7451,0.68845,0.64397,0.98306,0.001208,0.001208,0.001208
22,1784.66,0.82162,0.68175,1.04755,0.97948,0.85265,0.88344,0.74671,0.69889,0.66063,1.00773,0.0011684,0.0011684,0.0011684
23,1867.21,0.81542,0.65877,1.04065,0.95137,0.83929,0.86379,0.74767,0.66071,0.66178,0.99242,0.0011288,0.0011288,0.0011288
24,1951.37,0.78966,0.65851,1.03152,0.97957,0.8564,0.92506,0.79157,0.6219,0.57113,0.96653,0.0010892,0.0010892,0.0010892
25,2034.23,0.75941,0.62376,1.01027,0.97822,0.83929,0.90698,0.79365,0.62981,0.55097,0.96143,0.0010496,0.0010496,0.0010496
26,2115.06,0.75929,0.60755,1.02165,0.99249,0.83929,0.90024,0.76886,0.63299,0.5714,0.97564,0.00101,0.00101,0.00101
27,2195.86,0.74843,0.59749,1.01993,0.95347,0.83929,0.88738,0.76924,0.60507,0.60725,0.96093,0.0009704,0.0009704,0.0009704
28,2276.69,0.74876,0.59943,1.01726,0.98675,0.82143,0.91911,0.7832,0.65115,0.50525,0.99325,0.0009308,0.0009308,0.0009308
29,2357.98,0.71956,0.569,1.00539,0.9945,0.80357,0.86957,0.76235,0.66846,0.5897,0.98812,0.0008912,0.0008912,0.0008912
30,2439.15,0.71678,0.58035,1.0035,0.97734,0.83929,0.89894,0.78268,0.62979,0.55739,0.97076,0.0008516,0.0008516,0.0008516
31,2519.97,0.72501,0.58898,0.99958,1,0.85465,0.92336,0.79119,0.59271,0.49478,0.92876,0.000812,0.000812,0.000812
32,2600.94,0.72303,0.55696,1.00339,1,0.88413,0.91894,0.81715,0.58568,0.49396,0.93706,0.0007724,0.0007724,0.0007724
33,2681.7,0.69572,0.55573,0.98425,0.97424,0.85714,0.90156,0.80043,0.53689,0.5238,0.92302,0.0007328,0.0007328,0.0007328
